Taxa,NC73,NC97,NC48,NC23,NC47,NC38,NC62,NC94,NC93,NC52,NC68,NC92,NC43,NC59,NC44,NC70,NC96
Leiostomus xanthurus,0,0,12,0,0,0,0,1779,0,0,337,0,0,0,0,0,0
Larimus fasciatus,0,0,803,0,102,0,0,0,0,0,0,0,0,0,0,0,0
Orthopristis chrysoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanolepis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomatomus saltatrix,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
Lagodon rhomboides,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
Brevoortia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrophis punctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphyrna tiburo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynoscion regalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynoscion nothus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphurus plagiusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcharhinus acronotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etropus crossotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchoa hepsetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synodus foetens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionotus longispinosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus keta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphurus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippocampus erectus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paralichthys lethostigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathus louisianae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichiurus lepturus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophichthus gomesii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callinectes sapidus,4920,12002,4369,6490,9911,32336,39447,4,149060,0,24534,0,9,11155,1228,24722,21536
Penaeus,0,0,0,0,1,2,0,1116,11,0,1261,52,0,0,2518,1,0
Arenaeus cribrarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squilla empusa,0,0,0,0,8466,0,0,0,0,1,0,1,0,751,22920,4531,0
Callinectes similis,0,0,0,0,0,0,0,0,112165,0,0,0,0,0,0,0,0
Penaeus setiferus,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0
Dyspanopeus sayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achelous gibbesii,0,0,0,109,170,49,0,0,0,0,0,0,0,0,20,0,0
Upogebia affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnixa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovalipes,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0
Lolliguncula brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achelous spinimanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnotheridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
