ASV,superkingdom,phylum,class,order,family,genus,species,Trophic_level,Trophic_level_SE,Trophic_level_rank,Trophic_level_category,Environment,Prey_depth,In_NC,IUCN_status
MiFish_00001,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00011,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00120,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00353,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Larimus,Larimus fasciatus,3.6,0.3,Carnivore (3.6-4.0),Carnivore_two,Marine; brackish; demersal,demersal,Y,Least concern
MiFish_00397,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00555,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Orthopristis,Orthopristis chrysoptera,3.4,0,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00625,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00636,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Cynoscion,Cynoscion nothus,4,0.6,Carnivore (3.6-4.0),Carnivore_two,Marine; brackish; demersal,demersal,Y,Least concern
MiFish_00643,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,NA,3.2,0.4,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal,demersal,Y,Not avaliable
MiFish_00674,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00809,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00832,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00915,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_00954,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
MiFish_01000,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus,3.2,0.1,Carnivore (3.1-3.5),Carnivore_one,Marine; brackish; demersal; oceanodromous,demersal,Y,Least concern
